Név,Dátum,Utolsó ár,Forgalom (db),Forgalom (HUF érték),Forgalom (EUR érték),Kötések száma,Nyitó ár,Minimum ár,Maximum ár,Deviza,Átlag ár,Kapitalizáció
DELTA,2017.01.02.,1.8,15000.0,27000.0,87.26567550096962,1,1.8,1.8,1.8,HUF,1.8,9.3479625E7
DELTA,2017.01.03.,1.7,25400.0,43180.0,139.59202146574856,3,1.7,1.7,1.7,HUF,1.7,8.82863125E7
DELTA,2017.01.04.,1.7,24000.0,41600.0,134.67577454757358,3,1.8,1.7,1.8,HUF,1.7333333333333334,8.82863125E7
DELTA,2017.01.05.,1.8,41500.0,74700.0,241.91981345942096,3,1.8,1.8,1.8,HUF,1.8,9.3479625E7
DELTA,2017.01.06.,1.8,763.0,1373.4,4.471285323609845,1,1.8,1.8,1.8,HUF,1.8,9.3479625E7
DELTA,2017.01.09.,1.7,46550.0,83655.0,271.5454279871458,5,1.8,1.7,1.8,HUF,1.7970998925886144,8.82863125E7
DELTA,2017.01.10.,1.7,151834.0,262647.8,850.87404431774,13,1.7,1.7,1.8,HUF,1.7298352147740295,8.82863125E7
DELTA,2017.01.11.,1.8,21616.0,38747.2,125.26574421311263,3,1.7,1.7,1.8,HUF,1.792524056254626,9.3479625E7
DELTA,2017.01.12.,1.7,351022.0,618737.4,2010.7809300965196,10,1.8,1.7,1.8,HUF,1.7626741343847394,8.82863125E7
DELTA,2017.01.13.,1.8,94013.0,159833.2,520.0533610984578,11,1.7,1.7,1.8,HUF,1.7001180687777224,9.3479625E7
DELTA,2017.01.16.,1.7,117976.0,200559.2,652.564586451487,4,1.7,1.7,1.7,HUF,1.7000000000000002,8.82863125E7
DELTA,2017.01.17.,1.7,40689.0,69171.3,224.76458164094234,2,1.7,1.7,1.7,HUF,1.7000000000000002,8.82863125E7
DELTA,2017.01.18.,1.7,121360.0,206312.0,669.9529144341615,7,1.7,1.7,1.7,HUF,1.7,8.82863125E7
DELTA,2017.01.19.,1.7,20419.0,34712.3,112.66934986529913,2,1.7,1.7,1.7,HUF,1.7000000000000002,8.82863125E7
